ID,Name,test1_difficult,test1_like,test1_dislike,test2_difficult,test2_like,test2_dislike
Also at first I did not realize, that the camera point was already correct in the task with the photos..,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d0d51c9352a7914a102f7f,mojio,Difficult:some techniqal problems with my left mouse click button made it difficult to hold it pressed :-\ ,Like: simple and intuitively understandable task. + for the places of muenster.,Dislike: pictures are taken in winter atmosphere. I dislike winter. 

For one of the images the camera was located Off-screen and I hat to first zoom out of to find the location. Intended or did my broken mouse issue that?,Difficult: more difficult for places I dont know. For those places, it was even more difficult, when the image was showing only small pieces of lots of buildings at once. This made it more difficult to select building on image and map correspondingly,Like: I saw my appartment in the first image :D,Dislike: in one or two pictures, too many fronts of similar-looking buildings side by side in a row. spended more time for those picture to figure out which building could be the corresponding one on the image
56d105a19352a7914a102f94,Karl,Difficult:,Like: ,Dislike: ,,,
56d1757e9352a7914a102fa0,John,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d19dc99352a7914a102fb5,Elena,,,,,,
56d19e889352a7914a102fb6,,Difficult:,Like: ,Dislike: ,,,
56d1bf329352a7914a102fc1,Nope,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d1f8ad9352a7914a102fd6,Stefan Fuest,Difficult:,Like: Very clear instructions,Dislike: Sometimes (when I was not sure about this location) it was possible for me to define the camera facing direction just by making the connection between the arrangement of buildings on the photo and the footprints and streets on the map. ,Difficult: ,Like: It was quite easy to solve and the setup of the task was well explained.,Dislike: Similarly to the previous task, I was for example able to connect the 'REWE' on the picture with a building visualized on the map, as there was a label or icon for it on the map.
56d2013c9352a7914a102feb,Carina Weber,Difficult:i think the camera position sometimes was inaccurate (on the picture you could see a street, but the camera was obviously placed on the other side of the street),Like: ,Dislike: ,Difficult: ,Like: ,Dislike: some buildings were very easily to find because of the captions on the map
56d233759352a7914a103000,Vitaly,,,,,,
56d2b8f09352a7914a103001,Anastasia ,,,,,,
56d2e0b29352a7914a103002,Tanja,,,,,,
56d2e4b59352a7914a103005,Max,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d3db309352a7914a103043,Anastazja ,,,,,,
56d488829352a7914a103085,Vladimir,,,,,,
56d870409352a7914a1030da,,,,,,,
5703c2acb91a4d645b09faf0,d,,,,,,
570b7a69b91a4d645b09fafc,,,,,,,
571a3269fb3ce6647e5ef205,,,,,,,
571b7a8214d35f1c28f9f6bd,Anton,,,,,,
571b80c5fc3e8003293d0898,,,,,,,
571b811414cb2f2529b1486e,,,,,,,
56d2e26c9352a7914a103003,Tanja,Difficult:The picture on the Asee was a bit tricky. ,Like: ,Dislike: It would be nice to have a notice, that one should scroll down to see the map (in the video it was to the right of the photo). Due to that I have skipped the first picture. :-(,Difficult: ,Like: ,Dislike: 
56d3260e9352a7914a10302e,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d447cd9352a7914a103044,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d469559352a7914a103059,Kamil,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d4721d9352a7914a10306e,Patrick,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d557529352a7914a103086,unknown,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d5659a9352a7914a10309b,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d582319352a7914a1030b0,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d5d44b9352a7914a1030c5,Elena,Difficult:I dont know these places..(,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d883f29352a7914a1030db,Sebastian,Difficult:Ich habe erst am Ende herausgefunden, dass ich das Kartenbild auch in Sallitenbildern hätte ansehen können.,Like: Mal zu sehen, dass Münster recht klein ist, da es fast ausschließlich Fotos von Orten gab, die ich kenne.,Dislike: -,Difficult: -,Like: -,Dislike: -
56d8a5449352a7914a1030f0,Florian,Difficult:the camera movement could be a bit smoother. Sometimes it jumps :),Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d98957f52b965614cdc868,Yash Bonno,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d9dfabf52b965614cdc87e,Alena Horbach,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
56d9de07f52b965614cdc87d,Katerina,Difficult:,Like: ,Dislike: ,,,
56dd7d09f52b965614cdc89d,Tobias,Difficult:Orte, die man nicht genau bestimmen kann. Z.B. das Bild des Aaseeufers. Dies hätte überall um den See herum sein können.,Like: ich bin erstaunt, dass ich nur durch ein Bild die Kamera recht genau justieren konnte. (hoffe ich :-) ) ,Dislike: -,Difficult: Im InternetExplorer konnte ich nicht auf den Sateliten-Modus schalten. Dies wäre hilfreich gewesen, um gerade bei den Aaseebildern die Farbe der Gebäude mit zu berücksichtigen. ,Like: Es hat Spaß gemacht, dass obwohl einem das Bild nichts gesagt hat, man sich dennoch auf der Karte zurecht gefunden hat.,Dislike: Das der Satelitenmodus nicht geklappt hat.... Übrigens auch schon beim ersten Task nicht.
56df4366f52b965614cdc8b2,Wizard Garrick,Difficult:The test  does not work on ipad. It was not possible to use or move the camera so the second part of the test could not be completed properly,Like: Nice test,Dislike: ,,,
56e1bdb4f52b965614cdc8c1,Henner,Difficult:It felt like the field of view on the pictures didn't match the blue cone which made exact orientation of the camera more difficult..,Like: Possibly that the map had so many details? You could orientate pictures without knowing the place at all, which is probably better for your task?,Dislike: ,Difficult: The two pictures accross the Aasee. Long distance, many "unimportant", uniform buildings.,Like: ,Dislike: 
56e8637ff52b965614cdc8d6,Mars Jakob,Difficult:Firts of all, it has been a bit difficult to concentrate myself because I didn´t do such kind of tasks before. ,Like: I liked to understand that it is not that easy to understand the area concerned from different persepective.,Dislike: I thought that if I am not familiar with an area shown, I could skip it and it wouldn´t count, so that I do 10 tasks with only areas I know. That´s why I didn´t move the camera as I was about to skip it.,Difficult: ,Like: ,Dislike: 
570b793eb91a4d645b09faf1,,Difficult:,Like: ,Dislike: ,,,
570f61beb91a4d645b09fafd,test,Difficult:,Like: ,Dislike: ,,,
571a348f3dd9f5dd7ecc725c,,Difficult:njnj,Like: kmkml,Dislike: fvfv,Difficult: ,Like: ,Dislike: 
571b7aa914d35f1c28f9f6be,,,,,,,
571b816114cb2f2529b1486f,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
571b821014cb2f2529b14884,,Difficult:,Like: ,Dislike: ,,,
571ba05a946b13a32bccb5d8,,,,,,,
571c9448b0a52fd639a2b4b4,,Difficult:,Like: ,Dislike: ,Difficult: ,Like: ,Dislike: 
571c953bb0a52fd639a2b4cd,,Difficult:,Like: ,Dislike: ,,,
571c9582b0a52fd639a2b4d8,,Difficult:,Like: ,Dislike: ,,,
571c9682b0a52fd639a2b4e5,,,,,,,
571c9744b0a52fd639a2b4e7,,,,,,,
571c97a0b0a52fd639a2b4ec,,,,,,,
571c988eb0a52fd639a2b4f1,,Difficult:,Like: ,Dislike: ,,,
571c98f8b0a52fd639a2b4fc,,Difficult:,Like: ,Dislike: ,,,
